sample	ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
TS-28	20	0.0818801	0.018299	-0.0821396	0.0124561	0.0408942	-0.0546228	0.018243	-0.0834587	0.0299512	-0.0960214	CER
TS-29	21	0.0773587	0.00509954	-0.011622	0.0400194	0.025309	-0.0435993	0.0263664	-0.0215293	0.0865131	0.0813966	CER
TS-30	23	0.0666679	-0.00518823	-0.00890005	-0.041392	0.0563013	-0.0462856	-0.129468	-0.0595169	0.0521806	-0.101194	CER
TS-31	24	0.0698022	-0.0170169	0.135575	-0.0478792	0.023786	0.117699	-0.0448188	-0.0492954	0.259769	0.114352	CER
TS-32	25	0.0718975	0.00741957	-0.0597756	0.064388	0.0145251	-0.0579173	-0.0202474	-0.0158426	-0.0115228	0.0817186	CER
TS-33	26	-0.055905	0.0513699	-0.0685498	-0.145758	0.0617197	0.0472902	-0.00899155	-0.0156072	-0.122872	0.148443	CER
TS-34	27	-0.0614941	0.198298	0.0166122	0.0106664	0.0122706	-0.0394887	0.115289	0.32626	0.107459	-0.126672	CER
TS-35	28	0.0891561	-0.0406555	0.272666	-0.156837	0.126577	-0.0810848	0.0321878	0.0298646	0.0301826	-0.0113553	CER
TS-36	29	0.0183694	-0.0286443	0.0713373	-0.000877709	0.0196824	0.111007	-0.00175201	-0.0793399	0.22993	0.07362	CER
TS-37	30	-0.00946373	-0.0597873	-0.0293763	0.0248876	0.00872857	-0.0429517	-0.044372	0.012109	0.0406585	-0.0189314	CER
TS-38	31	0.0164484	-0.0243288	0.0238863	0.00419018	0.0383178	0.0562329	-0.0291049	0.0164874	0.160652	-0.0511211	CER
TS-39	32	-0.0125258	-0.0681249	-0.0550868	0.00474649	0.0214942	-0.0708845	0.0737003	0.0172291	0.0811288	0.0109733	CER
TS-40	34	0.0599355	-0.00409673	-0.037266	0.0594755	0.00945466	-0.0636815	0.0164804	0.0208029	0.028718	0.0580914	CER
TS-300	40	-0.0206613	0.029421	-0.110075	-0.147357	0.00194495	0.00623628	0.000243399	0.0263339	-0.0589638	-0.0328369	CER
TS-301	41	-0.0914306	0.279116	0.0801957	0.157181	0.226263	0.122427	-0.0411842	0.11012	-0.111515	-0.00397122	CER
TS-302	42	0.0900181	-0.00852616	0.0619303	0.00864167	-0.0237453	-0.0311237	-0.0625675	-0.0302434	0.0370904	0.202767	CER
TS-303	43	0.0703803	-0.0121329	0.0634953	-0.00971074	0.047778	-0.0253591	-0.11197	0.0151192	0.112059	0.0517645	CER
TS-304	44	0.0649514	0.0485165	-0.105341	-0.178389	0.0799413	0.170999	-0.0746482	-0.13357	0.0982188	-0.0820516	CER
TS-410	71	-0.0413217	-0.047118	-0.0268529	0.0432341	0.0488516	0.042605	-0.0420072	-0.0148189	-0.0526807	0.0232953	PIM
TS-411	72	-0.100151	-0.0524526	0.0202112	0.0145307	-0.00818387	0.0112	-0.0102888	0.00676662	0.0175907	-0.0420002	PIM
TS-412	73	-0.0896236	-0.0912914	0.0023176	0.0135715	0.0154995	0.0229844	-0.00413002	0.00308384	-0.00733204	-0.00311471	PIM
TS-413	74	-0.134705	0.163093	0.0445319	-0.0727845	-0.0855374	-0.0406006	0.071615	0.184052	0.0148134	0.150014	PIM
TS-414	75	-0.0886691	-0.0959723	-0.00352019	0.0224893	0.0453046	0.0312496	-0.00818301	0.0139607	-0.0668516	-0.0271737	PIM
TS-415	76	-0.0916389	-0.0955195	0.00561369	0.0107919	0.00915202	0.0299208	-0.0126139	0.00305768	0.00427599	-0.0153333	PIM
TS-416	77	-0.125503	0.0431269	0.0396611	-0.0430119	-0.163012	-0.11141	0.0266045	0.0168196	0.0884672	0.00546044	PIM
TS-417	78	-0.0900017	-0.0917303	0.00154886	0.0171339	0.030957	0.0316894	-0.00535552	0.0159785	-0.041162	-0.0204355	PIM
TS-418	79	-0.0796281	-0.0209699	-0.0498712	-0.112287	-0.0472381	-0.00372148	0.0586123	0.00697728	-0.0240392	0.189878	PIM
TS-419	80	-0.09164	-0.0724723	-0.0196732	-0.0353029	0.00143381	0.0335902	0.0297064	0.0478365	0.000836601	0.0444342	PIM
TS-420	82	-0.13349	0.0855144	0.0749872	0.0132351	-0.128629	-0.106786	-0.0846582	-0.261304	0.00360204	-0.056245	PIM
TS-421	83	-0.109746	-0.0425656	0.0240311	0.00633796	-0.0405063	-0.0276969	-0.0273386	-0.0955782	-0.0413441	-0.00133394	PIM
TS-422	84	-0.0889958	-0.0960776	0.000952941	0.0199636	0.0305299	0.0312366	-0.00567248	0.0202589	-0.0315444	-0.0161572	PIM
TS-423	85	-0.048094	0.177594	0.0139996	0.0522602	0.0465933	-0.0755868	-0.112151	-0.324521	-0.141907	-0.0940014	CER
TS-424	86	-0.0939273	-0.106261	0.00246508	0.0144326	0.0219195	0.0369399	-0.00110714	0.0274457	-0.00467159	-0.0109861	PIM
TS-425	87	-0.0868953	-0.0992664	-0.00746825	0.0273121	0.0503007	0.016544	0.000143779	0.00656116	-0.0869119	-0.0409565	PIM
TS-426	88	0.0830423	0.0139833	0.0084382	0.0688447	-0.188967	0.222888	0.151102	-0.0277478	0.00936223	-0.0418711	CER
TS-427	89	-0.00679198	-0.0357525	-0.04958	0.0687691	0.0234685	-0.0224377	0.0344667	0.00895356	-0.0389456	0.0288833	CER
TS-428	90	0.0316545	-0.0259341	-0.0425314	0.0698131	-0.0150197	-0.0676957	0.0371076	-0.0534281	0.0649794	0.0206373	CER
TS-429	91	-0.0844637	-0.0858751	0.00342857	0.0130978	0.00662338	0.0268951	-0.00515622	0.0128458	0.0106893	-0.0161275	PIM
TS-430	93	-0.0080104	0.0177219	-0.0131016	0.0781805	0.0617776	-0.0386539	0.0487811	-0.0295619	-0.0866647	0.194616	CER
TS-431	94	-0.0263185	0.0154919	-0.0355928	0.0601079	0.0603678	-0.0253194	0.0576421	0.012652	-0.0845897	0.151931	CER
TS-432	95	0.0899335	-0.0425684	0.274401	-0.150132	0.114761	-0.0883471	0.0343756	0.0335494	-0.0171895	-0.0116267	PIM
TS-433	96	0.0368328	-0.0134121	-0.00806969	0.0427684	0.00368187	-0.00204208	-0.0358211	-0.000460832	-0.0475609	0.0521736	PIM
