pi	EigenGWAS
Solyc01g058600	Solyc01g058190
Solyc01g058610	Solyc01g058200
Solyc01g058620	Solyc01g058210
Solyc01g058630	Solyc01g058220
Solyc01g058640	Solyc01g058350
Solyc01g058650	Solyc01g058360
Solyc01g058660	Solyc01g058370
Solyc01g058670	Solyc01g058380
Solyc01g058680	Solyc01g058390
Solyc01g058690	Solyc01g058400
Solyc01g058700	Solyc01g058410
Solyc01g066080	Solyc01g058420
Solyc01g066090	Solyc01g058430
Solyc01g066100	Solyc01g058440
Solyc01g066110	Solyc01g058450
Solyc01g066120	Solyc01g058670
Solyc01g066130	Solyc01g058710
Solyc01g066140	Solyc01g058720
Solyc01g066150	Solyc01g058730
Solyc01g066210	Solyc01g058740
Solyc01g066220	Solyc01g059740
Solyc01g066230	Solyc01g059750
Solyc01g066240	Solyc01g059760
Solyc01g066250	Solyc01g059780
Solyc01g066260	Solyc01g059790
Solyc01g066270	Solyc01g059800
Solyc01g066280	Solyc01g059810
Solyc01g066290	Solyc01g059820
Solyc01g066300	Solyc01g059830
Solyc01g066310	Solyc01g059840
Solyc01g066320	Solyc01g059850
Solyc01g066330	Solyc01g059860
Solyc01g066340	Solyc01g059870
Solyc01g066350	Solyc01g059880
Solyc01g066360	Solyc01g059910
Solyc01g066370	Solyc01g059920
Solyc01g066380	Solyc01g059930
Solyc01g066390	Solyc01g059940
Solyc01g066400	Solyc01g059950
Solyc01g066410	Solyc01g059960
Solyc01g066420	Solyc01g059970
Solyc01g066430	Solyc01g059980
Solyc01g066440	Solyc01g059990
Solyc01g066450	Solyc01g060000
Solyc01g066460	Solyc01g060010
Solyc01g066470	Solyc01g060020
Solyc01g066480	Solyc01g060480
Solyc01g066490	Solyc01g060490
Solyc01g066500	Solyc01g065490
Solyc01g066510	Solyc01g065500
Solyc01g066520	Solyc01g065510
Solyc01g066530	Solyc01g065520
Solyc01g066560	Solyc01g065530
Solyc01g066570	Solyc01g065540
Solyc01g066580	Solyc01g065710
Solyc01g066590	Solyc01g065720
Solyc01g066600	Solyc01g065740
Solyc01g066610	Solyc01g065750
Solyc01g066620	Solyc01g065760
Solyc01g066630	Solyc01g065770
Solyc01g066640	Solyc01g065780
Solyc01g066650	Solyc01g065790
Solyc01g066660	Solyc01g065800
Solyc01g066670	Solyc01g065810
Solyc01g066680	Solyc01g065820
Solyc01g066690	Solyc01g065830
Solyc01g066700	Solyc01g065840
Solyc01g066710	Solyc01g065850
Solyc01g066720	Solyc01g065860
Solyc01g066730	Solyc01g065870
Solyc01g066740	Solyc01g065880
Solyc01g066750	Solyc01g065890
Solyc01g066760	Solyc01g065900
Solyc01g066770	Solyc01g065910
Solyc01g066790	Solyc01g065920
Solyc01g066800	Solyc01g065930
Solyc01g066810	Solyc01g065940
Solyc01g066820	Solyc01g065950
Solyc01g066830	Solyc01g065960
Solyc01g066840	Solyc01g065970
Solyc01g066850	Solyc01g066090
Solyc01g066860	Solyc01g066100
Solyc01g066870	Solyc01g066110
Solyc01g067410	Solyc01g066120
Solyc01g067420	Solyc01g066130
Solyc01g067430	Solyc01g066140
Solyc01g067440	Solyc01g066150
Solyc01g067450	Solyc01g066160
Solyc01g067460	Solyc01g066170
Solyc01g067480	Solyc01g066180
Solyc01g067490	Solyc01g066190
Solyc01g079310	Solyc01g066200
Solyc01g079320	Solyc01g066210
Solyc01g079330	Solyc01g066220
Solyc01g079340	Solyc01g066230
Solyc01g079350	Solyc01g066240
Solyc01g079360	Solyc01g066250
Solyc01g079370	Solyc01g066260
Solyc01g079380	Solyc01g066270
Solyc01g079390	Solyc01g066280
Solyc01g079400	Solyc01g066290
Solyc01g079410	Solyc01g066300
Solyc01g079420	Solyc01g066310
Solyc01g079430	Solyc01g066320
Solyc01g079440	Solyc01g066330
Solyc01g079450	Solyc01g066340
Solyc01g079460	Solyc01g066350
Solyc01g079470	Solyc01g066360
Solyc01g079480	Solyc01g066370
Solyc01g079490	Solyc01g066380
Solyc01g088320	Solyc01g066390
Solyc01g088330	Solyc01g066400
Solyc01g088340	Solyc01g066410
Solyc01g088350	Solyc01g066420
Solyc01g088360	Solyc01g066430
Solyc01g088370	Solyc01g066440
Solyc01g088380	Solyc01g066450
Solyc01g088390	Solyc01g066460
Solyc01g088400	Solyc01g066470
Solyc01g088410	Solyc01g066480
Solyc01g088420	Solyc01g066490
Solyc01g088430	Solyc01g066500
Solyc01g088440	Solyc01g066510
Solyc01g088450	Solyc01g066520
Solyc01g088460	Solyc01g079310
Solyc01g088470	Solyc01g079320
Solyc01g088480	Solyc01g079330
Solyc01g088490	Solyc01g079340
Solyc01g088500	Solyc01g079350
Solyc01g088510	Solyc01g079360
Solyc01g088520	Solyc01g079370
Solyc01g088530	Solyc01g079380
Solyc01g088540	Solyc01g079390
Solyc01g088550	Solyc01g079400
Solyc01g088560	Solyc01g079410
Solyc01g088570	Solyc01g079420
Solyc01g088580	Solyc01g088720
Solyc01g088590	Solyc01g088730
Solyc01g088600	Solyc01g088740
Solyc01g088610	Solyc01g088750
Solyc01g088620	Solyc01g088760
